Proposal,Beamline,Experiment start,Experiment end,User Affiliation,Department,Overall,Scientific support,Technical support,Beamline hardware,Beamline software,Machine operation,DUO,Experiment comments,Infrastructure comment,Overall comments,Remarks,Report submitted
20120108,MX,24/05/2012,26/05/2012,University of Oulu,Department of Biochemistry,4,5,5,4,3,4,5,Everything went as planned with data collection.,-,-,-,06/06/2012
20140298,I811,04/11/2014,07/11/2014,Institute of Plasma Physics and Laser Microfusion,Department of Spectroscopy and Thermonuclear Technology,4,5,5,4,5,5,5,"The detector used had good resolution for one part of our experiment. However, the resolution was not sufficient to select narrower range of energies to avoid signal from other unwanted elements in our sample.",--,"Overall, our experiment went as planned. We performed the planned measurements, however, our test of possibility to measure extra was not successful due to other elements giving strong signal compared to the signal from our wanted element.",--,20/11/2014
20130067,I311-XPS,23/02/2014,03/03/2014,Technische Universität München,Department of Physics,2,4,5,3,3,4,4,--,--,"For surface science experiments, which involve complex and often tedious sample preparation in-situ, one week is too a short time, especially considering that there is no fast entry system at the endstation and a bake out was needed. Due to complications in the sample preparation, further problems related to beam damage and to the need to find the right settings for newly tested photoelectron diffraction measurements, we could not complete the measurements we have planned. With more time at our disposal, the outcome would have been certainly be more satisfactory.","A question regarding the time constraints for the realization of the proposal: e.g. ""was the beam time awarded sufficient to carry out the research of the proposal?""",17/03/2014
20140265,D7,24/11/2015,01/12/2015,University of Barcelona,Department of Analytical Chemistry,1,3,3,1,4,4,0,"The microscope does not work properly, we sent a lot of time to realice this situation. We had almost not useful results for this reason.","
Very good","
As I pointed out before, we had not useful results because the microscope system did not work properly
",,10/12/2015
0,MX,09/03/2012,10/03/2012,SARomics Biostructures AB,,4,0,0,4,4,4,2,Everything worked well! Not needed technical support. ,A bit hard to understand DUO login for a first time user.,,,19/03/2012
20130235,I4,07/04/2014,14/04/2014,Max Planck Institute for Solid State Research,Interface Analysis Group,5,5,5,4,4,5,5,,A common clean room / chemistry lab is difficult to maintain in optimal condition. Maybe a more personalized assignment would be better ,,,24/04/2014
0,I311-PEEM,21/05/2012,25/05/2012,Institut de Physique et Chemie des Materiaux de Strasbourg (IPCMS),,5,5,5,5,5,5,3,,A guesthouse is still missing...,,,15/03/2013
20120065,I911-4,15/11/2012,16/11/2012,Malmö University,Faculty of Health and Society,0,5,5,0,0,3,4,"Frequent bean instability during night shift...
",A heating cabinet next to beamline 911-4 would help a lot!,,,19/11/2012
20110396,I911-4,09/11/2012,10/11/2012,Malmö University,Faculty of Health and Society,5,5,5,0,0,5,4,,A heating cabinet next to the 911-4 beam line would facilitate our experiments,,,19/11/2012
20120331,I711,20/02/2013,23/02/2013,Umeå University,Department of Physics,5,5,5,5,5,5,5,"Excellent beamline and very friendly staff, special thanks to Diana Thomas for technical support with start of our experiments. ",aall good,We made all planend experiments and very likely it will give us good publication.,,03/03/2013
20110006,I311-XPS,19/06/2012,02/07/2012,University of Manchester,School of Physics and Astronomy,4,5,5,3,5,4,5,"Generally excellent as usual - particularly the outstanding beamline scientific support on both end stations (spectroscopy (Karina, Justin) and XPEEM (Alexei, Yuran)).
Unfortunately quite a few glitches with the beamline hardware - time lost due to repeated crashes of the spectroscopy station computer, and on the last weekend, one of the beamline computers died, which meant that photon energy could not be scanned (so no NEXAFS etc.)  Strenuous efforts were made by the station manager to resolve the issues during and just after our run (all is now resolved, I believe).  Also no beam or very poor quality beam during much of the weekend of the midsummer holiday.",All excellent as ever.,"Would have been 5*, but the beamline computer issues on the last weekend stopped us obtaining NEXAFS to accompany some very nice photoemission, which is a great shame.","!!! Is this for real?
I don't answer questionnaires unless I have to.",10/07/2012
20120080,D1011,18/06/2013,01/07/2013,University of Nottingham,School of Physics and Astronomy,5,5,5,5,5,4,5,"Beamline worked perfectly. Staff extremely helpful. Machine stable for almost all the time, just a couple of downtimes.",All excellent.,We were able to measure data for 4 key molecule-surface interfaces and the quality of that data at first sight looks like it will enable us to publish at least 2 papers from the beamtime.,,10/07/2013
20130295,I911-4,08/06/2014,11/06/2014,Karl-Franzens University,Institute of Molecular Biosciences,4,5,2,4,3,2,5,Support during night hours was badly missing.,all great,,,23/06/2014
20140187,I711,21/11/2014,24/11/2014,"Center of Research and Advances Studies of the National Polytechnic Institute, (CINVESTAV-IPN)", ,4,5,5,3,4,3,5,"We lost about 10 hours of work because the power went off and it caused a lot of problems, but thanks to Dörte we could work again.","All is very good, perfect infraestructure",,"If any of the users had a problem, a box to explain it.",02/12/2014
20130126,D1011,11/05/2014,19/05/2014,University of Nottingham,School of Physics and Astronomy,5,5,5,5,5,5,5,Fantastic beamtime. Everything worked very well.,All more than sufficent,,,27/05/2014
20120199,I811,23/10/2012,26/10/2012,University of Cape Town,Department of Chemical Engineering,5,5,5,5,5,4,5,"the beamline staff was very willing to assist, and the assistance received was very helpful. the beam was good, except for the interuptions we had during the beamtime (one at an injection that lasted about 4.5 hrs, and another towards the end of the beamtime) ","all of the above were great! however, one thing we thought would be useful to us in the laboratory, the presser, was found in a condition that it could not be used (faulty).",,,08/11/2012
20130302,I811,17/06/2014,23/06/2014,Moscow Engineering Physics Institute,Physics of Solid State and Nanosystems,4,5,5,5,4,4,5,Quality of beamline software: only one point: MOSTAB do not stabilize at energy higher than 12.5 keV,All services are of the high level,"One point: unfortunately it is necessery to pay for using liquid helium. In DESY, SOLEIL liquid helium is free of charge. This limits the possibility of carrying out researches at low-temperature in MAX-lab.",No,01/07/2014
20110343,I811,04/06/2012,07/06/2012,University of Babes-Bolyai,Faculty of Physics,5,5,5,5,5,5,5,The scientific support was allright.,All the accesories of MAX-Lab listed above were functioning as desired.,All the samples were measured as planned.,,10/07/2012
20110418,I1011,29/05/2012,04/06/2012,Mersin University,Electrical Technologies,4,5,4,4,4,5,5,I would like to thank Dr. Gunnar Öhrwall for his kind support during measurements. ,"All you need, you can reach anytime.",,I was planning to make my measurements at low temperatures (about 10 K) but it was not available for my measurements because Helium was not provided and I am told that I have to pay for and I have to order it before my arrival.,11/06/2012
20140031,I311-XPS,02/11/2015,09/11/2015,University of Manchester,School of Physics and Astronomy,5,5,4,3,3,4,4,some delays due to software and beamline undulator issues/ had to call the operators late in the evening to reset the settings. problems eventually solved.,any issues are due to the big number of users-they should remember that these are many users common facilities and always keep them clean and tidy!,,,30/11/2015
20140050,I711,23/10/2014,27/10/2014,Helmholtz-Zentrum Geesthacht,Zentrum für Material- und Küstenforschung,2,3,1,1,1,2,5,Shutdown due to leak in the roof. Beamline shutter won't open because of readout error of vacuum gauge. Problems due to beam loss. Drop of intensity due thermal expansion of beam optics.,Argon supply of the glovebox run out. High values of moisture and oxygen. Filter hasn't been regenerated.,Due to lots of downtime and especially unexpected downtime it was hard to pass sucessful experiments,,11/11/2014
0,I911-4,14/02/2012,14/02/2012,Lund University,MAX IV Laboratory,5,0,0,4,4,3,0,"200 mA injection.
As the project is part of in house research, I didn&acute;t fill the other points","As the project is part of in house research, I didn&acute;t fill the other points",,,14/02/2012
20120338,I911-4,20/06/2013,24/06/2013,University of Southampton,Faculty of Natural and Environmental Sciences,5,5,5,5,5,5,5,"A fantastic session. Almost no lost time and got through a huge number of experiments, producing some great data.","As usual, the staff are friendly, the coffee machines well stocked and everything clean and tidy.",Everything worked very smoothly and we had a really productive session.,,02/07/2013
20120084,I3,17/06/2013,24/06/2013,Universite de Cergy-Pontoise,Laboratoire de Physique des Materiaux et des Surfaces,5,5,5,5,5,5,5,,"As usually it was convivial meet, especially in the lunch room.",,,26/06/2013
0,I311-XPS,20/01/2015,25/01/2015,Aarhus University,Department of Physics and Astronomy,5,5,5,5,5,5,5,very satisfied with the help we received,Best beam line lunch room I've used so far!,,,02/02/2015
20140064,I4,09/06/2015,15/06/2015,South University of Science and Technology of China,Department of Physics,4,5,5,5,5,4,5,The injection broke down for several times.,Cafe is tasty!,,,31/07/2015
20130143,I411,19/11/2013,25/11/2013,University of Bergen,Department of Chemistry,4,4,3,3,3,4,5,"Staff support: We do not require much _scientific_ support. Very good tech support during mounting of the equipment. Adequate tech support during runtime.
BL HW: old equipment, loose & faulty connections leads to loss of time. The monochromator screw is in urgent need of adjustment and recalibration.
BL SW: OK but minimal.
Accelerator op: Mostly stable. Lost 9h because of beam dump at midnight to Saturday & no nightly refill.","Chem lab: Would be good to have additional fume hoods, or dedicated space for evaporation from cold traps to air. Compounds labelled for destruction have not been removed since  years - this leads to overcrowded cupboards.","We were able to do most of what we came for, resulting in a nice set of useful and interesting data. On the down side, problems with the monochromator deteriorated the resolution of some of our data.",,03/12/2013
20130093,I411,27/08/2013,09/09/2013,Lund University,"Department of Physics, Synchrotron Radiation Research",4,5,4,3,3,2,5,"Problems with monochromator (we lost one day), problems with injections (took 2-3 hours and users would have appreciated more information of the status)",Chem. lab: fumes full of bottles,,,17/09/2013
20120112,I411,28/01/2013,04/02/2013,Universtiy of Turku,Department of Physics and Astronomy,5,3,4,3,4,4,4,"Not much help were needed, but mostly the help was available as it has also been nefore.","Chemistry equipment could be slightly improved, for example no sample spoons were available. Also one of the fume cupboards were full of waste samples etc.   ","The beamtime went very well and the quantity of the measurements that we managed to conduct exceeded the expectations. There was a minor problem with the beam, but that was taken care of quite swiftly (in less than two hours).",,12/03/2013
20120045,I811,20/02/2013,21/02/2013,Uppsala University,"Department of Physics and Astronomy, Molecular and Condensed Matter Physics",4,5,4,2,2,5,5,,chemistry lab is a mess,,,01/03/2013
20120021,I411,24/06/2013,01/07/2013,Uppsala University,"Department of Physics and Astronomy, Molecular and Condensed Matter Physics",3,3,3,3,3,3,4,several beam losses and no information... but otherwise ok!,chemistry lab is in bad shape,,,11/07/2013
20110383,I911-4,30/05/2012,31/05/2012,University of Oulu,Department of Biochemistry,4,4,5,3,3,4,4,"rather old versions of software, like for example PRIMUS programm",Chemistry lab is located quite far away from beam line I911-4. So not that convenient to run to the lab for spinning samples for example,"Quite satisfied with my final experimental results, guess it was successful trip",,08/06/2012
20140219,SPECIES-HPXPS,23/11/2015,01/12/2015,University of Groningen,Zernike Institute for Advanced Materials,2,5,5,3,5,1,5,"Continuous beam losses and interruptions resulted in only 2 out of 6 shifts available for work. During the last shifts, although the beam was stable, but the current was very low( ¬100mA) and misalignment did not allow efficient usage.",Chemistry lab was a little messy,"We did gain some experience working at the beam station, however no useful and consistent measurements were obtained.",,07/12/2015
20120021,I411,15/05/2013,20/05/2013,Uppsala University,"Department of Physics and Astronomy, Molecular and Condensed Matter Physics",4,3,3,4,4,5,5,previous users didn't clean up after them,"chemistry lab was dirty and no cloves and paper the whole week, just a few beakers and volumetric flasks! But the oven is working again!!! thanks!",,,05/06/2013
20130093,I411,11/03/2014,24/03/2014,Lund University,"Department of Physics, Synchrotron Radiation Research",4,3,4,3,3,4,5,"We had two weeks of beam time.  During the period there were a couple of problems with injection but the total loss of beam for us was not large.  We did not achieve the photon-energy resolution that was necessary (and was published in beam line technical papers) which was s more serious issue.  We spent 1/2 day on diagnostics of the monochromator and 1/2 day on the electron spectrometer to improve resolution but could not improve beyond 100 meV FWHM at the Ar 2p-4s resonance.
We experienced a large number of crashes of the spectrometer software and loss of lens table optimization, etc.  We estimate that one day of measurement was lost due to software problems.",Chemistry lab was messy and crowded. The fume hoods were filled with bottles and beakers. Basic supplies were missing and there was little space for working.  ,,,01/04/2014
20130154,D1011,18/02/2014,24/02/2014,University of Tartu,Institute of Physics,5,5,5,5,5,5,5,,Chemistry lab was missing some basic equipment like tinfoil.,,,25/02/2014
20130093,I411,27/08/2013,09/09/2013,Lund University,"Department of Physics, Synchrotron Radiation Research",5,5,4,2,2,3,5,"We had trouble with the monochromator on several occasions (stuck) and with the software (crashes).  Sometimes there were conflicting client programs on the computer that caused problems of different kinds.
It would be very helpful with diagnostics for photon flux measurement.
There were several injections that did not succeed and many that took 3-4 hours.  Estimate lost beam time at totally 24-30 hours.",Chemistry lab was not clean and fume hoods were filled with many containers with old chemicals. There was no space for our equipment during the beam week. The staff found an alternative location for our needs which was appreciated.  ,,,22/09/2013
0,I3,01/12/2015,09/12/2015,Norwegian University of Science and Technology-NTNU,Department of Physics,5,5,5,5,5,5,5,"It was my first and last beam-time in Maxlab I3, I really appreciate everything. Cozy environment, lots of friendly people!
- People helped a lot, everyone helps each other if there is a bigger issue. There is also very good things (rest room, lunch room, TV) to do if we are bored.",Clean room - was not so clean but with good conditions and most of all the material needed,"- Specially at night the beam was with low current and it slow down the measurements, but it was not a problem for us, it could be for other end stations",,19/12/2015
20120087,I311-XPS,29/10/2012,05/11/2012,Vienna University of Technology,Institute of Materials Chemistry,5,5,5,5,3,5,5,"Separate components of the software could be better integrated. It doesn't feel like I am controlling an endstation, but only its individual components.

The I311 undulator control is a bit simplistic (using a lookup table for gap positions should maybe be an option for advanced users). A simple safety check to prevent users from making long undulator moves while there is a taper would be advisable.

It would be nice to have the option to measure beam flux using either a photodiode OR a retractable gold mesh when the beam spot profile isn't of particular importance to an experiment. 

Automated control of the exit slit and the analyzer entrance slit would be nice user-facing features. 

I'm not sure if the Scienta software could do this, but it would be nice if it could record more pertinent data in its output files, such as the beamline energy and the ring current. ",Clean room boundaries didn't seem to be well respected / tools went missing. ,,Did safety/first-aid incidents occur?,15/11/2012
0,I711,14/02/2014,14/02/2014,Umeå University,Department of Physics,5,5,5,5,5,5,5,Many thanks to beamline personnel  for possibility to test my samples and support with experiments.,Coffee is really good at Max lab,,,25/02/2014
20130179,I311-XPS,07/04/2014,14/04/2014,Tampere University of Technology,Surface Science Laboratory,4,0,4,5,3,5,5,,coffee machines did not work during weekend,,,22/04/2014
20130120,I711,29/10/2013,31/10/2013,Royal Institute of Technology (KTH),Functional Materials Division,3,4,4,3,3,1,4,"In this beamline time, there was some problems because of the heavy storm in last night which caused the whole lab to shut down. I711 was not working properly after injection in the morning 29th October. Beamline manager and all support team put there extreme efforts to make it possible for us but roughly with a loss of about 8 hours",common area is lacking with the daily newspaper such as DN or SvD. ,Due to delay in use and then followed by some problems in beam later on causes very low intensity signals for our measurements. Beamline support team tried to investigate the problem and solved it before and during our experiments. ,,19/11/2013
20120232,I911-4,26/10/2012,27/10/2012,Malmö University,Faculty of Health and Society,4,5,5,5,4,2,3,2 beam loses within 10h,Complicated procedure to input graphics during proposal,,,03/11/2012
20120098,I911-4,10/11/2012,12/11/2012,Chalmers University of Technology,Department of Applied Physics,3,4,4,4,4,4,4,,"Did not use chem lab, clean room etc.","This was my first visit and we got some interesting results, but in two cases we did not get any good results (because of our materials...).",,20/11/2012
20120122,D1011,04/03/2013,11/03/2013,Karlstad University,Department of Physics,4,5,5,3,5,4,5,"Hardware problem: TEY signal noise, unpredictably shows up and disappears (all week). Several spectra had to be measured twice. Probe repair (thermocouple?) on first day. Computer crash on second day. 
Apart from one injection of two hours, all other machine operation parts went smoothly.
",did not use chem labs.,"Very successful beamtime in the sense of good team spirit and good communication with beamline staff. On the minus side, causing slightly lower grade, were all the hardware problems causing significant delays. But service with repair was excellent. Thank you!",,17/03/2013
20140086,I811,08/05/2015,11/05/2015,Royal Institute of Technology (KTH),Land and Water Resources Engineering,5,5,5,5,5,5,5,,did not use clean lab. this time,,,19/05/2015
20110315,I911-4,08/05/2012,11/05/2012,Lund University,"Department of Construction Sciences, Solid Mechanics",5,5,5,5,4,5,5,running macros would have been useful with regards to the software.,Did not use lab facilities,,,23/05/2012
20120293,MX,16/06/2012,17/06/2012,University of Oulu,Department of Biochemistry,3,2,2,3,3,3,3,Dewar was not filled when we arrived. Local contact was not assigned and only appeared when asked. Liquid nitrogen containers were empty. Luckily we found one container in the filling place but it was missing a hose which we had to instal ourselves. Cryo was not in place and not on in beam line I911-3.,Did not use the chemical laboratory. Operations smooth in Users office services. Common areas good.,We collected altogether ten data sets the outcome we will know later when the structures are solved to see the density for ligand.,,20/06/2012
20130026,MX,26/11/2013,27/11/2013,Aarhus University,"Center for Structural Biology, Department of Molecular Biology",4,5,4,3,5,4,5,We had problems with very low intensity all afternoon/night.,Did not use the laboratory facilities.,,,20/12/2013
20140414,MX,03/09/2014,06/09/2014,Fujian Institute of Research on the Structure of Matter,,4,5,5,5,5,5,4,"
Somehow xia2 is not working, but it is likely I am not good enough in computing skills.","Did not use the labs.
The lunch room offer free drinks. That is wonderful. Never happen to other beam lines that I went, e.g., NSLS, APS, Shanghai etc.","We processed one data set and got some interesting new results, which is publishable. However, some of our crystals diffracted weakly and cannot be collected.","
I wish to have a HKL2000 to process data.",06/09/2014
20130241,I311-PEEM,25/11/2013,02/12/2013,Max Planck Institute for Solid State Research,Interface Analysis Group,5,5,5,4,4,5,4,"We are anxiously looking forward to the aberation correction of the LEEM, which will improve the experimental quality dramatically","Didn't need chemistry, clean room",,,04/12/2013
